chain,generation,participant,condition,entropy
chain1,0,seed1,Transmission + Interaction,3.48687207912
chain1,1,full1,Transmission + Interaction,3.34636823868
chain1,1,full2,Transmission + Interaction,3.22362874731
chain1,2,full3,Transmission + Interaction,3.01639497263
chain1,2,full4,Transmission + Interaction,3.02875126622
chain1,3,full5,Transmission + Interaction,3.06939458366
chain1,3,full6,Transmission + Interaction,2.91355065927
chain1,4,full7,Transmission + Interaction,2.77297346747
chain1,4,full8,Transmission + Interaction,2.82027423043
chain1,5,full9,Transmission + Interaction,2.73170923142
chain1,5,full10,Transmission + Interaction,2.77515145586
chain2,0,seed2,Transmission + Interaction,3.61381465676
chain2,1,full11,Transmission + Interaction,3.40898868018
chain2,1,full12,Transmission + Interaction,3.25740505893
chain2,2,full13,Transmission + Interaction,3.20508531924
chain2,2,full14,Transmission + Interaction,3.11759729049
chain2,3,full15,Transmission + Interaction,3.059982626
chain2,3,full16,Transmission + Interaction,3.0890512286
chain2,4,full17,Transmission + Interaction,2.90042215385
chain2,4,full18,Transmission + Interaction,2.8038743735
chain2,5,full19,Transmission + Interaction,2.73414134914
chain2,5,full20,Transmission + Interaction,2.72816212615
chain3,0,seed3,Transmission + Interaction,3.48865694228
chain3,1,full21,Transmission + Interaction,3.29365384486
chain3,1,full22,Transmission + Interaction,3.22790914511
chain3,2,full23,Transmission + Interaction,3.03284496742
chain3,2,full24,Transmission + Interaction,3.15685490998
chain3,3,full25,Transmission + Interaction,2.95320120412
chain3,3,full26,Transmission + Interaction,2.98276722583
chain3,4,full27,Transmission + Interaction,2.84604785739
chain3,4,full28,Transmission + Interaction,2.94152007849
chain3,5,full29,Transmission + Interaction,2.83328178481
chain3,5,full30,Transmission + Interaction,2.80675544239
chain4,0,seed4,Transmission + Interaction,3.42199073422
chain4,1,full31,Transmission + Interaction,3.0589484186
chain4,1,full32,Transmission + Interaction,3.40398885555
chain4,2,full33,Transmission + Interaction,3.16421380584
chain4,2,full34,Transmission + Interaction,3.04977698691
chain4,3,full35,Transmission + Interaction,2.83907531424
chain4,3,full36,Transmission + Interaction,2.87688747813
chain4,4,full37,Transmission + Interaction,2.84404422481
chain4,4,full38,Transmission + Interaction,2.89531982246
chain4,5,full39,Transmission + Interaction,2.73245819227
chain4,5,full40,Transmission + Interaction,2.7854454446
chain5,0,seed5,Transmission + Interaction,3.47836478376
chain5,1,full41,Transmission + Interaction,3.38493502471
chain5,1,full42,Transmission + Interaction,3.22745870512
chain5,2,full43,Transmission + Interaction,3.22065215934
chain5,2,full44,Transmission + Interaction,3.00798047169
chain5,3,full45,Transmission + Interaction,3.01194200731
chain5,3,full46,Transmission + Interaction,3.0379050538
chain5,4,full47,Transmission + Interaction,3.24503407728
chain5,4,full48,Transmission + Interaction,3.14418875082
chain5,5,full49,Transmission + Interaction,3.0071336491
chain5,5,full50,Transmission + Interaction,3.14064249966
