chain,generation,participant,condition,entropy
chain1,0,seed1,Transmission only,3.45515471672
chain1,1,sing1,Transmission only,3.33580951845
chain1,2,sing8,Transmission only,3.09955425105
chain1,3,sing12,Transmission only,2.92995008341
chain1,4,sing13,Transmission only,3.18401345239
chain1,5,sing15,Transmission only,3.16867375798
chain2,0,seed2,Transmission only,3.61381465676
chain2,1,sing2,Transmission only,3.6550251526
chain2,2,sing7,Transmission only,3.72142152774
chain2,3,sing14,Transmission only,3.3369015308
chain2,4,sing20,Transmission only,3.24578406108
chain2,5,sing22,Transmission only,3.43138697236
chain3,0,seed3,Transmission only,3.53991492648
chain3,1,sing3,Transmission only,3.42197703194
chain3,2,sing11,Transmission only,3.36691622107
chain3,3,sing16,Transmission only,3.19828141348
chain3,4,sing19,Transmission only,2.99719704674
chain3,5,sing25,Transmission only,3.18677500537
chain4,0,seed4,Transmission only,3.47391755795
chain4,1,sing4,Transmission only,3.82830269722
chain4,2,sing9,Transmission only,3.60105468435
chain4,3,sing17,Transmission only,3.57309913215
chain4,4,sing19,Transmission only,3.58455076288
chain4,5,sing23,Transmission only,3.51545518934
chain5,0,seed5,Transmission only,3.53468141291
chain5,1,sing6,Transmission only,3.60949881477
chain5,2,sing10,Transmission only,3.72955151741
chain5,3,sing18,Transmission only,3.73699468928
chain5,4,sing21,Transmission only,3.76737166211
chain5,5,sing26,Transmission only,3.52714279304
chain1,0,seed1,Transmission + Interaction,3.40478454072
chain1,1,C_11,Transmission + Interaction,3.29023059912
chain1,1,C_12,Transmission + Interaction,3.71259806051
chain1,2,C_14,Transmission + Interaction,3.35191892491
chain1,2,C_13,Transmission + Interaction,3.36415432811
chain1,3,C_15,Transmission + Interaction,3.19949923302
chain1,3,C_16,Transmission + Interaction,2.97651651664
chain1,4,C_18,Transmission + Interaction,2.7211704321
chain1,4,C_17,Transmission + Interaction,2.6950373027
chain1,5,C_19,Transmission + Interaction,2.61606323749
chain1,5,C_20,Transmission + Interaction,2.69488454415
chain2,0,seed2,Transmission + Interaction,3.28642568676
chain2,1,C_21,Transmission + Interaction,3.38504473999
chain2,1,C_22,Transmission + Interaction,3.15820710759
chain2,2,C_24,Transmission + Interaction,3.20673688249
chain2,2,C_23,Transmission + Interaction,3.2808360647
chain2,3,C_25,Transmission + Interaction,3.0114999743
chain2,3,C_26,Transmission + Interaction,3.18159273506
chain2,4,C_27,Transmission + Interaction,2.9585917702
chain2,4,C_28,Transmission + Interaction,2.83209139315
chain2,5,C_30,Transmission + Interaction,2.72544595671
chain2,5,C_29,Transmission + Interaction,3.18797505986
chain3,0,seed3,Transmission + Interaction,3.38988914865
chain3,1,C_31,Transmission + Interaction,3.23560752129
chain3,1,C_32,Transmission + Interaction,3.33390729075
chain3,2,C_33,Transmission + Interaction,3.32625868111
chain3,2,C_34,Transmission + Interaction,3.28825231171
chain3,3,C_35,Transmission + Interaction,3.2791804185
chain3,3,C_36,Transmission + Interaction,3.26458799086
chain3,4,C_37,Transmission + Interaction,3.10829303802
chain3,4,C_38,Transmission + Interaction,3.06460232565
chain3,5,C_39,Transmission + Interaction,2.78231052043
chain3,5,C_40,Transmission + Interaction,2.83034352186
chain4,0,seed4,Transmission + Interaction,3.07679271068
chain4,1,C_41,Transmission + Interaction,3.29130884499
chain4,1,C_42,Transmission + Interaction,3.32457691204
chain4,2,C_44,Transmission + Interaction,3.18841951297
chain4,2,C_43,Transmission + Interaction,3.26222890461
chain4,3,C_45,Transmission + Interaction,3.26352311919
chain4,3,C_46,Transmission + Interaction,3.08447362169
chain4,4,C_48,Transmission + Interaction,3.15356242027
chain4,4,C_47,Transmission + Interaction,3.03687490171
chain4,5,C_49,Transmission + Interaction,2.87006266401
chain4,5,C_50,Transmission + Interaction,2.72937816599
chain5,0,seed5,Transmission + Interaction,3.28873427023
chain5,1,C_52,Transmission + Interaction,3.59712964227
chain5,1,C_51,Transmission + Interaction,3.48909147595
chain5,2,C_53,Transmission + Interaction,3.2449550893
chain5,2,C_54,Transmission + Interaction,2.99419696613
chain5,3,C_55,Transmission + Interaction,3.28644742952
chain5,3,C_56,Transmission + Interaction,2.95320101158
chain5,4,C_57,Transmission + Interaction,3.02586945578
chain5,4,C_58,Transmission + Interaction,2.93523940571
chain5,5,C_59,Transmission + Interaction,2.93939030038
chain5,5,C_60,Transmission + Interaction,3.01255335408
chain1,0,seed1,Interaction only,3.41860592501
chain1,1,D_11,Interaction only,3.46578478379
chain1,1,D_12,Interaction only,3.37792169481
chain1,2,D_11,Interaction only,3.38239304766
chain1,2,D_12,Interaction only,3.35699370615
chain1,3,D_11,Interaction only,3.23444866484
chain1,3,D_12,Interaction only,3.23459731346
chain1,4,D_11,Interaction only,3.20903689855
chain1,4,D_12,Interaction only,3.35740148265
chain1,5,D_11,Interaction only,3.18473492878
chain1,5,D_12,Interaction only,3.20167097247
chain2,0,seed2,Interaction only,3.36101487047
chain2,1,D_21,Interaction only,3.12445638073
chain2,1,D_22,Interaction only,3.37034803177
chain2,2,D_21,Interaction only,3.3283686361
chain2,2,D_22,Interaction only,3.39454949158
chain2,3,D_21,Interaction only,3.3912358777
chain2,3,D_22,Interaction only,3.32678617288
chain2,4,D_21,Interaction only,3.29924600971
chain2,4,D_22,Interaction only,3.3060079738
chain2,5,D_21,Interaction only,3.23705546192
chain2,5,D_22,Interaction only,3.37144224742
chain3,0,seed3,Interaction only,3.34532312106
chain3,1,D_32,Interaction only,3.25709960602
chain3,1,D_31,Interaction only,3.40490144316
chain3,2,D_32,Interaction only,3.30512817072
chain3,2,D_31,Interaction only,3.31980114712
chain3,3,D_32,Interaction only,3.35100508317
chain3,3,D_31,Interaction only,3.19246510348
chain3,4,D_32,Interaction only,3.27242937701
chain3,4,D_31,Interaction only,3.21740954063
chain3,5,D_32,Interaction only,3.25579586519
chain3,5,D_31,Interaction only,3.32461397012
chain4,0,seed4,Interaction only,3.21600975396
chain4,1,D_41,Interaction only,3.35978107397
chain4,1,D_42,Interaction only,3.20341908658
chain4,2,D_41,Interaction only,3.27126405598
chain4,2,D_42,Interaction only,3.25957267725
chain4,3,D_41,Interaction only,3.29016994891
chain4,3,D_42,Interaction only,3.26416998423
chain4,4,D_41,Interaction only,3.1314665722
chain4,4,D_42,Interaction only,3.21582922554
chain4,5,D_41,Interaction only,3.2281529781
chain4,5,D_42,Interaction only,3.19734066522
chain5,0,seed5,Interaction only,3.31932944139
chain5,1,D_51,Interaction only,3.27362695779
chain5,1,D_52,Interaction only,3.01779731431
chain5,2,D_51,Interaction only,3.2140120852
chain5,2,D_52,Interaction only,2.91521824383
chain5,3,D_51,Interaction only,3.1216637851
chain5,3,D_52,Interaction only,3.0498625417
chain5,4,D_51,Interaction only,2.99286675629
chain5,4,D_52,Interaction only,3.02468532606
chain5,5,D_51,Interaction only,3.02490235693
chain5,5,D_52,Interaction only,2.93602148052
