acc,chain,code_string,condition,director,ent_type,generation,guess_time,markerPres,model,participant,phase,selected,target,terminator,trial,verb,vid_len
,chain1,"2hMustache,2hHat,1hHoldPan<shake>,2hHoldPan<shake>*2,1hPour<left>",Transmission only,B,person,0,,n,,s25,,,chef,,,N,
,chain1,"Chat+1hDine,look<left>+1hChat",Transmission only,A,loc,0,,n,,s2,,,restaurant,,,N,
,chain1,"2hPan.Outline,2hHoldPan<shake>,(1hHoldPan<shake>,1hStir),2hHoldPan<toss>,2hHoldPan<toss>",Transmission only,A,obj,0,,n,,s3,,,frying pan,,,N,
,chain1,"1hHoldPan<leftcentre>,(1hHoldPan,1hFlame),1hPour<right>,1hPour<left>",Transmission only,B,act,0,,n,,s28,,,to cook,,,Y,
,chain1,"2hPray,1hCollar,2hPray,nod",Transmission only,A,person,0,,n,,s5,,,vicar,,,N,
,chain1,2hPray+bow,Transmission only,A,loc,0,,n,,s6,,,church,,,N,
,chain1,"2hTurnPage<repeated>,(1hPalm,1hPointatObj<atObj>),2hPray",Transmission only,B,obj,0,,y,,s31,,,bible,,,N,
,chain1,"1hFingerWag<right,repeated>",Transmission only,A,act,0,,n,,s8,,,to preach,,,Y,
,chain1,"1hThumbSelf<self-repeated>,Wink+2hCamera<asymm,1Press>",Transmission only,A,person,0,,y,,s9,,,photographer,,,N,
,chain1,"Look+1hSee,Look+1hSee,2hPalm.Feel<left+right>",Transmission only,B,loc,0,,n,,s34,,,darkroom,,,N,
,chain1,"2hCamera<symm,pressRepeated*4>,2hCamera,2hLens<twist,repeated>",Transmission only,B,obj,0,,n,,s35,,,camera,,,N,
,chain1,"2hCamera<asymm,1Press>",Transmission only,A,act,0,,n,,s12,,,to take a photo,,,Y,
,chain1,"1hSing<right>,1hSing<right>",Transmission only,A,person,0,,n,,s13,,,singer,,,N,
,chain1,"2hViolin<play>,2hTrumpet<play>,2hDrums<play>,2hGuitar<play>",Transmission only,A,loc,0,,n,,s14,,,concert hall,,,N,
,chain1,"Sing+1hMicrophone<hold>,(1hMicrophone<hold>,1hPointatObj<atObj>)",Transmission only,A,obj,0,,y,,s15,,,microphone,,,N,
,chain1,"Sing,1hSing,(1hPalm,1hPoint<read>),1hSing",Transmission only,B,act,0,,n,,s40,,,to sing,,,Y,
,chain1,"1hScissors-Hair<left,repeated>,1hScissors-Hair<beard>,1hScissors-Hair<right>",Transmission only,A,person,0,,n,,s17,,,hairdresser,,,N,
,chain1,"2hScissors-HoldHair<left>,2hFluff,2hHair.Feel",Transmission only,B,loc,0,,n,,s42,,,hair salon,,,N,
,chain1,"1hScissors<rightleft>,1hScissors<hold>",Transmission only,B,obj,0,,n,,s43,,,scissors,,,N,
,chain1,"2hHair,2hFluff,2hHair,2hHair<centre>,2hScissors-Hold<centre>,2hBrush-Hold<centre>,2hScissors-Hold<centre>",Transmission only,B,act,0,,n,,s44,,,to give a haircut,,,Y,
,chain1,"Frown+1hPoint.Knock<right>,1hBadge<left>, 1hPoint.Knock<right>,2hHat,1hKnock<right>,1hFist",Transmission only,A,person,0,,n,,s21,,,police officer,,,N,
,chain1,2hHoldBars<hold>+look+sad,Transmission only,B,loc,0,,n,,s46,,,prison,,,N,
,chain1,2hFists.wristsX<hold>,Transmission only,A,obj,0,,n,,s23,,,handcuffs,,,N,
,chain1,"Cry+2hFists.wristsTogether<out>,2hFists.wristsTogether<in>",Transmission only,B,act,0,,n,,s48,,,to make an arrest,,,Y,
,chain1,"1hWhistle, 1hPoint<front>,2hFistsX",Transmission only,,act,1,,n,s48,sing1,testing,,to make an arrest,,0,Y,4.884628
,chain1,"Look, 1hLook, 2hFeel<sides>",Transmission only,,loc,1,,n,s34,sing1,testing,,darkroom,,1,N,7.083917
,chain1,2hFistsX<emph>,Transmission only,,obj,1,,n,s23,sing1,testing,,handcuffs,,2,N,4.524134
,chain1,"2hBox,2hSing,2hViolin<play>",Transmission only,,loc,1,,y,s14,sing1,testing,,concert hall,,3,N,8.145763
,chain1,"1hPour<right>,1hPour<left>,1hHoldPan<shake,toss>",Transmission only,,act,1,,n,s28,sing1,testing,,to cook,,4,Y,7.650745
,chain1,"2hPointSelf<self,repeated>,2hCamera<asymm,PressRepeated>,2hCamera<asymm,PressRepeated>",Transmission only,,person,1,,y,s9,sing1,testing,,photographer,,5,N,8.904982
,chain1,"2hPray,2hCollar,2hPray",Transmission only,,person,1,,n,s5,sing1,testing,,vicar,,6,N,6.829939
,chain1,1hScissors<leftright>,Transmission only,,obj,1,,n,s43,sing1,testing,,scissors,,7,N,4.396722
,chain1,"2hBox,2hScissors-HoldHair<right,repeated>",Transmission only,,loc,1,,y,s42,sing1,testing,,hair salon,,8,N,9.103375
,chain1,"2hBox,2hRoof,2hPray",Transmission only,,loc,1,,y,s6,sing1,testing,,church,,9,N,7.031724
,chain1,1hSing,Transmission only,,act,1,,n,s40,sing1,testing,,to sing,,10,Y,4.086715
,chain1,"2hOpenBook,2hTurnPage,2hTurnPage,2hOpenBook",Transmission only,,obj,1,,n,s31,sing1,testing,,bible,,11,N,7.908918
,chain1,"1hPalm<leftright>,2hHoldBars,2hHoldBars<shake>",Transmission only,,loc,1,,n,s46,sing1,testing,,prison,,12,N,7.249655
,chain1,"2hPalmSelf<self,repeated>,2hSing",Transmission only,,person,1,,y,s13,sing1,testing,,singer,,13,N,4.055375
,chain1,"2hHat,1hFingerWag,2hFistsX",Transmission only,,person,1,,n,s21,sing1,testing,,police officer,,14,N,6.054079
,chain1,"2hCamera<asymm,PressRepeated>,2hLens",Transmission only,,obj,1,,n,s35,sing1,testing,,camera,,15,N,7.354644
,chain1,"2hOpenBook,1hPointatObj<atObj>,Look<left>,2hDine<repeated>",Transmission only,,loc,1,,n,s2,sing1,testing,,restaurant,,16,N,7.822916
,chain1,"Sing,1hMicrophone,1hPointatObj<atObj>",Transmission only,,obj,1,,y,s15,sing1,testing,,microphone,,17,N,4.757177
,chain1,"2hScissors-HoldHair<right,repeated>",Transmission only,,person,1,,n,s17,sing1,testing,,hairdresser,,18,N,7.727752
,chain1,"2hCamera<asymm,PressRepeated>",Transmission only,,act,1,,n,s12,sing1,testing,,to take a photo,,19,Y,5.359876
