participant,chain,generation,trial,target,ent_type,code_string,markerPres
D_22,chain2,1,1,handcuffs,obj,2hHandcuffs,n
D_22,chain2,1,3,hairdresser,person,"1hHairOnHead,2hCutHair,2hHairOnHead",n
D_22,chain2,1,5,camera,obj,"2hCamera,2hPressButton,2hCameraLense",n
D_22,chain2,1,7,church,loc,"2hOpenBook,2hReadLyrics,2hPray",n
D_22,chain2,1,9,vicar,person,"2hPray,1hCollar,2hPray",n
D_22,chain2,1,11,scissors,obj,1hScissors,n
D_22,chain2,1,13,photographer,person,"2hCamera,1hPressButton,2hCamera,1hPressButton",n
D_22,chain2,1,15,to take a photo,act,"2hCamera,1hPressButton",n
D_22,chain2,1,17,frying pan,obj,1hHoldAndShakeHandleOfPan,n
D_22,chain2,1,19,police officer,person,"1hTapOnGlass,2hBadge,1hTapOnGlass,2hPoliceHat,1hTapOnGlass",n
D_22,chain2,1,21,concert hall,loc,1hSingToAudience,n
D_22,chain2,1,23,to sing,act,1hSingToAudience,n
D_22,chain2,1,25,chef,person,"2hMoustache,2hChefHat,1hHoldAndShakeHandleOfPan,1hAddFood",n
D_22,chain2,1,27,prison,loc,2hPrisonBars,n
D_22,chain2,1,29,to make an arrest,act,"1hTapOnGlass,2hBadge,2hHandcuffs",n
D_22,chain2,1,31,to give a haircut,act,"2hHairOnHead,2hCutHair,2hCombHair,2hCutHair",n
D_22,chain2,1,33,hair salon,loc,"1hHairOnHead,2hCutHair,2hHairOnHead",n
D_22,chain2,1,35,darkroom,loc,"1hLookInDistance,2hFeelForWalls",n
D_22,chain2,1,37,microphone,obj,"1hMicrophone,2hSphere,1hMicrophone",n
D_22,chain2,1,39,to cook,act,"1hHoldAndShakeHandleOfPan,1hAddFood,1hHoldAndShakeHandleOfPan,2hPlate,2hRecieveFood",n
D_22,chain2,1,41,to preach,act,2hSingToAudience,n
D_22,chain2,1,43,restaurant,loc,"1hEatMeal,1hThankWaitor",n
D_22,chain2,1,45,bible,obj,"2hOpenBook,2hReadLyrics,2hPray",n
D_22,chain2,1,47,singer,person,"1hMicrophone,1hSingToAudience",n
D_51,chain5,2,0,police officer,person,"1hTapOnGlass,2hBadge",n
D_51,chain5,2,2,to give a haircut,act,"2hPointToSelf,2hCutHair",n
D_51,chain5,2,4,to preach,act,1hShakeFingerInAir,n
D_51,chain5,2,6,microphone,obj,"1hMicrophone,1hPointAtObj",y
D_51,chain5,2,8,concert hall,loc,"2hPlayViolin,2hSaxophone",n
